"Class","Aerosol","B","G","R","NIR","SWIR1","SWIR2","Cirrus","energy","entropy","corr","invDiffM","inertia","clusShade","clusProm","hCorr","mean","variance","dissim","sumAvg","sumVar","sumEntr","diffEntr","diffVar","IC1","IC2","SRE","LRE","GLNU","RLNU","RP","LGRE","HGLRE","SRLGLE","SRHGLE","LRLGLE","LRHGLE"
"2",0.16249,2.81211,0.28853,0.68264,0.79339,0.47036,2.76369,1500.96106,10872,10100,9578,9683,15170,14682,11272,5042,1,1,33.76596,94,0.01684,61.53191,0.01684,61.53191,0.01684,61.53191,0,6.70248,0.45694,0,13.40496,1.03436,2.00601,1.1982,0.28741,-0.86555,0.90394
"2",0.15873,3.11277,0.35922,0.70413,1.00826,0.81593,7.68923,1788.89124,10821,9995,9293,9033,14747,12592,9180,5040,1,1,25.16901,71,0.01593,65.69014,0.01593,65.69014,0.01593,65.69014,0,6.90909,0.66116,0,13.81818,1.63636,2.26812,1.25787,0.39485,-0.743,0.90266
"2",0.28465,2.78069,0.37453,0.7281,1.19835,4.04143,17.47002,1187.3175,10732,9902,9285,8537,14842,11671,8568,5036,1,1,23.4507,71,0.01664,64.54929,0.01664,64.54929,0.01664,64.54929,0,6.60744,0.90788,0,13.21488,2.43317,2.09403,1.21128,0.49261,-0.75181,0.88383
"2",0.72294,0.78417,-1.17766,0.92149,0.15702,0.0908,0.0798,488.97092,10741,9882,9084,8795,11482,12926,10389,5035,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6.07851,0.07235,0,12.15702,0.13237,0.62714,0.49595,0.07235,-0.85027,0.61127
"2",1,0,0,1,0,0,0,399.88889,10532,9583,8749,7827,17338,9566,6916,5050,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6,0,0,12,0,0,0,0,0,0
"2",0.13315,3.24916,0.51429,0.69587,0.92562,1.28081,9.48858,2032.10559,10711,9859,9136,8496,14744,11051,8187,5046,1,1,26.725,80,0.01643,63.5,0.01643,63.5,0.01643,63.5,0,6.86777,0.75937,0,13.73554,2.11188,2.40014,1.24717,0.35353,-0.77786,0.91538
"2",0.98357,0.07732,-2e-05,0.99587,0.00826,0.00806,0.00799,404.13559,10705,9901,9145,8950,12240,13527,10499,5040,1,1,40,40,0.02041,49,0.02041,49,0.02041,49,0,6.00413,0.00412,0,12.00826,0.0082,0.06905,0.0446,0.00412,-0.88447,0.21603
"2",0.13548,3.22705,0.57097,0.69339,0.85124,-1.47859,11.42285,2363.02441,11332,10561,10626,10902,16011,15521,11766,5054,1,1,29.5618,89,0.01448,72.13483,0.01448,72.13483,0.01448,72.13483,0,7.40909,0.72934,0,14.81818,2.06612,2.39032,1.21419,0.31905,-0.67472,0.89649
"2",0.15125,3.2704,0.35541,0.66364,1.34711,0.29044,14.69198,2289.5481,10788,9901,9136,8464,11198,9241,7408,5055,1,1,24.10843,83,0.01605,66.72289,0.01605,66.72289,0.01605,66.72289,0,7.05372,1.11695,0,14.10744,3.12069,2.39664,1.35114,0.51945,-0.62828,0.88916
"2",0.39212,1.8754,0.51104,0.80826,0.46281,0.64567,1.59082,769.742,10682,9799,9026,8221,14455,9503,7159,5055,1,1,30.84848,66,0.01818,56.39394,0.01818,56.39394,0.01818,56.39394,0,6.28099,0.26815,0,12.56198,0.60979,1.43152,0.94204,0.19206,-0.8527,0.82103
